Id,Weight,CityDistrict,DeliveryDateTime
99,4.94,19,2024-09-01 18:34:34
100,0.42,6,2024-09-01 13:41:41
101,5.75,7,2024-09-01 04:23:23
102,3.29,5,2024-09-01 04:05:05
103,4.16,9,2024-09-01 21:40:40
104,7,18,2024-09-01 18:50:50
105,8.44,7,2024-09-01 10:40:40
106,1.63,14,2024-09-01 08:38:38
107,0.98,5,2024-09-01 16:11:11
108,5.63,19,2024-09-01 07:11:11
109,1.63,10,2024-09-01 23:58:58
110,1.51,16,2024-09-01 15:13:13
111,9.99,5,2024-09-01 09:11:11
112,6.37,19,2024-09-01 11:23:23
113,5.71,1,2024-09-02 01:21:21
114,0.78,11,2024-09-01 11:05:05
115,2.77,10,2024-09-02 00:31:31
116,8.93,1,2024-09-02 01:35:35
117,4.82,1,2024-09-01 10:38:38
118,7.33,18,2024-09-01 20:01:01
119,0.49,12,2024-09-01 08:38:38
120,7.58,16,2024-09-01 09:29:29
121,3.22,9,2024-09-01 18:09:09
122,1.92,2,2024-09-01 09:06:06
123,6.48,12,2024-09-01 08:01:01
124,3.12,19,2024-09-01 12:40:40
125,2.49,10,2024-09-01 17:53:53
126,0.47,5,2024-09-01 15:37:37
127,2.24,8,2024-09-02 00:35:35
128,3.16,4,2024-09-01 04:19:19
129,3.24,20,2024-09-01 21:27:27
130,1.22,12,2024-09-01 04:00:00
131,3.96,3,2024-09-02 01:05:05
132,2.34,10,2024-09-01 16:41:41
133,7.19,10,2024-09-02 02:45:45
134,3.22,20,2024-09-02 02:15:15
135,0.95,20,2024-09-01 05:07:07
136,8.25,13,2024-09-01 18:43:43
137,5.05,20,2024-09-01 09:32:32
138,10.07,10,2024-09-01 17:19:19
139,2.39,9,2024-09-01 15:34:34
140,4.37,17,2024-09-01 23:00:00
141,6.11,14,2024-09-01 11:48:48
142,3.93,11,2024-09-01 09:39:39
143,8.54,15,2024-09-01 15:55:55
144,0.58,18,2024-09-01 07:28:28
145,8.85,4,2024-09-01 11:19:19
146,3.82,16,2024-09-01 07:35:35
147,4.39,14,2024-09-02 00:32:32
148,9.3,1,2024-09-01 10:16:16
149,4.9,8,2024-09-01 04:11:11
150,5.35,17,2024-09-01 11:21:21
151,6.07,13,2024-09-01 17:57:57
152,8.19,8,2024-09-01 21:56:56
153,7.4,15,2024-09-01 03:00:00
154,8.38,20,2024-09-02 01:55:55
155,2.66,9,2024-09-01 12:52:52
156,3.93,10,2024-09-01 20:40:40
157,0.31,9,2024-09-01 20:54:54
158,8.69,1,2024-09-01 12:27:27
159,4.95,19,2024-09-01 07:33:33
160,3.56,14,2024-09-01 20:01:01
161,4.62,1,2024-09-02 01:00:00
162,9.1,3,2024-09-01 10:06:06
163,5.67,11,2024-09-01 04:12:12
164,5.19,9,2024-09-02 00:01:01
165,6.07,15,2024-09-01 03:02:02
166,6.24,9,2024-09-01 09:22:22
167,7.65,12,2024-09-01 22:05:05
168,4.13,18,2024-09-01 15:44:44
169,3.34,12,2024-09-01 16:12:12
170,2.38,6,2024-09-01 23:49:49
171,4.99,15,2024-09-01 13:18:18
172,8.63,2,2024-09-01 16:01:01
173,8.31,9,2024-09-01 04:54:54
174,8.45,13,2024-09-01 21:41:41
175,0.55,5,2024-09-01 13:31:31
176,5.29,19,2024-09-01 06:45:45
177,4.65,19,2024-09-01 03:01:01
178,3.02,20,2024-09-01 07:27:27
179,0.92,5,2024-09-02 01:22:22
180,8.77,10,2024-09-01 22:43:43
181,6.07,4,2024-09-02 01:06:06
182,6.34,10,2024-09-01 17:44:44
183,6.87,5,2024-09-01 21:37:37
184,6.43,9,2024-09-01 20:27:27
185,4.32,4,2024-09-01 09:13:13
186,8.11,18,2024-09-01 16:25:25
187,2.31,7,2024-09-01 23:46:46
188,8.15,8,2024-09-01 18:27:27
189,1.89,14,2024-09-01 06:38:38
190,8.52,19,2024-09-01 17:57:57
191,0.16,17,2024-09-01 04:32:32
192,1.27,19,2024-09-01 08:58:58
193,0.58,3,2024-09-01 15:46:46
194,6.03,9,2024-09-01 20:51:51
195,6.52,1,2024-09-01 15:29:29
196,2.34,10,2024-09-01 18:45:45
197,9.15,1,2024-09-01 18:33:33
198,9.8,6,2024-09-01 16:22:22
199,9.61,12,2024-09-01 17:44:44
200,5.73,6,2024-09-01 13:19:19
201,8.65,1,2024-09-01 12:13:13
202,0.34,6,2024-09-02 00:07:07
203,2.06,9,2024-09-01 10:31:31
204,7.59,5,2024-09-01 05:18:18
205,1.63,9,2024-09-01 17:37:37
206,3.51,3,2024-09-01 23:37:37
207,3.57,8,2024-09-01 12:53:53
208,2.44,12,2024-09-01 18:13:13
209,7.25,6,2024-09-01 11:12:12
210,4.84,18,2024-09-01 21:00:00
211,5.34,5,2024-09-01 19:51:51
212,6.84,14,2024-09-01 17:23:23
213,9.93,7,2024-09-01 08:13:13
214,8.08,10,2024-09-01 12:02:02
215,6.63,10,2024-09-01 22:42:42
216,9.73,1,2024-09-01 05:48:48
217,0.5,9,2024-09-01 05:20:20
218,3.84,11,2024-09-01 15:43:43
219,4.16,12,2024-09-01 06:41:41
220,0.43,10,2024-09-01 12:40:40
221,5.74,7,2024-09-01 18:19:19
222,9.37,6,2024-09-01 03:47:47
223,7.51,1,2024-09-01 03:59:59
224,3.24,10,2024-09-01 05:57:57
225,9.85,14,2024-09-01 20:53:53
226,2.78,15,2024-09-02 00:45:45
227,3.18,13,2024-09-01 13:13:13
228,6.02,6,2024-09-01 21:06:06
229,9.43,20,2024-09-01 18:58:58
230,8.89,14,2024-09-01 03:50:50
231,4.54,1,2024-09-01 16:03:03
232,7.52,12,2024-09-01 20:29:29
233,0.62,16,2024-09-01 13:53:53
234,10.05,20,2024-09-01 20:02:02
235,9.56,14,2024-09-01 03:06:06
236,6.67,14,2024-09-01 14:42:42
237,3.52,10,2024-09-01 22:45:45
238,9.07,7,2024-09-01 13:02:02
239,6.04,6,2024-09-01 20:20:20
240,4.94,7,2024-09-01 20:08:08
241,6.78,19,2024-09-02 00:49:49
242,5.58,18,2024-09-01 05:19:19
243,5.02,4,2024-09-01 03:48:48
244,5.76,11,2024-09-01 17:04:04
245,6.29,8,2024-09-01 07:23:23
246,4.94,4,2024-09-02 01:02:02
247,2.62,18,2024-09-02 02:41:41
248,1.71,20,2024-09-01 06:50:50
249,2.57,7,2024-09-02 02:43:43
250,0.33,13,2024-09-01 21:59:59
251,7.47,16,2024-09-01 23:24:24
252,3.47,10,2024-09-01 05:58:58
253,6.47,3,2024-09-01 05:44:44
254,5.05,17,2024-09-01 08:33:33
255,9.48,1,2024-09-01 04:00:00
256,4.55,19,2024-09-01 10:47:47
257,7.62,5,2024-09-01 12:26:26
258,5.78,2,2024-09-01 10:39:39
259,5.15,17,2024-09-01 18:35:35
260,6.36,19,2024-09-01 15:26:26
261,5.82,4,2024-09-01 08:22:22
262,6.83,12,2024-09-01 06:04:04
263,6.75,18,2024-09-01 15:54:54
264,5.54,11,2024-09-01 20:34:34
265,9.53,15,2024-09-01 21:51:51
266,2.02,4,2024-09-02 01:15:15
267,7.84,10,2024-09-01 08:16:16
268,3.29,10,2024-09-01 19:46:46
269,0.41,5,2024-09-01 09:30:30
270,5.21,8,2024-09-01 19:55:55
271,1.03,6,2024-09-01 12:21:21
272,5.42,17,2024-09-01 19:23:23
273,6.76,16,2024-09-02 00:09:09
274,3.59,6,2024-09-01 22:24:24
275,9.02,19,2024-09-01 19:08:08
276,3.35,16,2024-09-01 09:50:50
277,4.47,16,2024-09-02 02:11:11
278,4.69,9,2024-09-01 18:33:33
279,9.19,20,2024-09-01 12:53:53
280,9.83,4,2024-09-02 01:57:57
281,8.26,9,2024-09-01 13:39:39
282,3.75,17,2024-09-01 03:51:51
283,0.66,18,2024-09-01 05:06:06
284,0.13,3,2024-09-01 20:57:57
285,1.14,17,2024-09-01 23:25:25
286,3.39,17,2024-09-01 12:33:33
287,10.02,3,2024-09-01 06:49:49
288,9.44,18,2024-09-01 06:30:30
289,2.56,6,2024-09-02 00:28:28
290,6.45,10,2024-09-01 16:45:45
291,4.32,11,2024-09-01 18:06:06
292,8.34,17,2024-09-01 17:39:39
293,0.99,6,2024-09-01 21:48:48
294,0.39,12,2024-09-01 07:52:52
295,1.8,4,2024-09-01 09:34:34
296,6.2,8,2024-09-01 18:45:45
297,0.35,16,2024-09-01 16:17:17
298,7.88,18,2024-09-01 11:41:41
299,8,18,2024-09-02 01:09:09
300,2.65,5,2024-09-01 15:07:07
301,5.36,8,2024-09-01 14:55:55
302,6.71,10,2024-09-01 14:59:59
303,6.79,17,2024-09-01 07:04:04
304,8.61,9,2024-09-01 23:11:11
305,8.07,4,2024-09-01 14:03:03
306,1.09,15,2024-09-01 03:09:09
307,9.78,11,2024-09-01 17:20:20
308,2.4,15,2024-09-01 21:16:16
309,1.55,18,2024-09-01 09:08:08
310,2.12,12,2024-09-01 17:57:57
311,7.95,10,2024-09-01 13:20:20
312,2.48,13,2024-09-01 04:29:29
313,5.63,3,2024-09-01 09:49:49
314,9.4,2,2024-09-01 16:41:41
315,2.52,12,2024-09-02 01:27:27
316,4.16,10,2024-09-01 20:50:50
317,3.42,19,2024-09-01 11:08:08
318,8.41,13,2024-09-01 11:16:16
319,1.66,13,2024-09-01 07:26:26
320,8.26,12,2024-09-01 15:13:13
321,0.21,7,2024-09-01 21:59:59
322,4.43,18,2024-09-01 05:21:21
323,1.41,12,2024-09-01 19:33:33
324,4.1,15,2024-09-01 06:31:31
325,1.21,7,2024-09-01 08:13:13
326,5.72,14,2024-09-01 12:22:22
327,0.56,2,2024-09-02 01:23:23
328,4.89,1,2024-09-01 06:55:55
329,4.28,20,2024-09-01 18:03:03
330,5.68,9,2024-09-01 08:07:07
331,7.75,4,2024-09-01 20:42:42
332,7.53,3,2024-09-01 13:20:20
333,1.53,7,2024-09-01 14:18:18
334,6.9,1,2024-09-01 06:07:07
335,1.52,9,2024-09-01 03:06:06
336,2.39,4,2024-09-01 04:05:05
337,4.38,13,2024-09-01 03:27:27
338,3.55,17,2024-09-01 06:14:14
339,5.98,17,2024-09-01 18:51:51
340,5.99,10,2024-09-01 16:10:10
341,5.04,10,2024-09-01 09:49:49
342,4.46,4,2024-09-01 18:04:04
343,4.49,8,2024-09-02 02:29:29
344,0.44,5,2024-09-01 11:26:26
345,9.92,10,2024-09-01 20:00:00
346,0.56,20,2024-09-01 03:03:03
347,8.07,12,2024-09-01 04:15:15
348,1.72,11,2024-09-01 17:48:48
349,0.6,17,2024-09-01 19:50:50
350,3.34,4,2024-09-01 07:22:22
351,8.4,7,2024-09-01 09:28:28
352,9.37,2,2024-09-01 12:50:50
353,10.02,5,2024-09-02 02:56:56
354,4.25,17,2024-09-01 17:50:50
355,2.81,15,2024-09-01 06:48:48
356,6.44,19,2024-09-01 21:56:56
357,7.64,5,2024-09-02 01:16:16
358,9.85,2,2024-09-01 19:00:00
359,6.77,13,2024-09-01 14:07:07
360,8.36,7,2024-09-02 02:34:34
361,9.16,3,2024-09-01 10:13:13
362,3.31,8,2024-09-01 09:10:10
363,9.05,20,2024-09-01 13:43:43
364,7.21,18,2024-09-01 15:33:33
365,0.74,6,2024-09-01 18:40:40
366,0.69,20,2024-09-01 03:35:35
367,4,12,2024-09-01 12:31:31
368,1.77,14,2024-09-01 04:38:38
369,1.8,10,2024-09-01 23:37:37
370,9,11,2024-09-01 23:45:45
371,3.86,11,2024-09-01 11:35:35
372,7.29,3,2024-09-01 09:10:10
373,2.72,8,2024-09-01 11:39:39
374,9.85,14,2024-09-01 10:18:18
375,4.8,1,2024-09-01 09:20:20
376,8.26,2,2024-09-01 17:56:56
377,0.67,13,2024-09-01 16:34:34
378,6.27,5,2024-09-01 04:35:35
379,0.4,19,2024-09-01 17:38:38
380,9.86,6,2024-09-01 19:40:40
381,0.91,20,2024-09-01 11:19:19
382,9.95,6,2024-09-01 22:48:48
383,8.24,11,2024-09-01 15:11:11
384,9.01,19,2024-09-01 04:22:22
385,0.76,2,2024-09-01 03:05:05
386,4.16,13,2024-09-01 09:39:39
387,10.06,12,2024-09-01 12:02:02
388,0.71,5,2024-09-01 06:27:27
389,0.45,6,2024-09-01 20:32:32
390,7.37,2,2024-09-01 05:25:25
391,6.35,3,2024-09-01 05:07:07
392,4.11,15,2024-09-01 21:07:07
393,6.58,19,2024-09-01 18:04:04
394,2.39,17,2024-09-01 03:00:00
395,8.76,9,2024-09-01 14:20:20
396,2.62,9,2024-09-01 23:21:21
397,6.8,19,2024-09-01 13:02:02
398,3.58,15,2024-09-01 23:58:58
399,4.54,9,2024-09-02 01:44:44
400,6.58,10,2024-09-01 04:51:51
401,9.77,4,2024-09-01 16:03:03
402,1.68,4,2024-09-01 15:21:21
403,3.72,9,2024-09-02 00:49:49
404,7.83,9,2024-09-01 17:41:41
405,9.25,3,2024-09-01 04:03:03
406,9.44,7,2024-09-01 12:54:54
407,7.33,3,2024-09-01 16:39:39
408,5.33,20,2024-09-02 00:09:09
409,2.89,18,2024-09-01 08:35:35
410,1.99,18,2024-09-01 13:32:32
411,6.81,7,2024-09-01 06:07:07
412,8.65,14,2024-09-01 18:49:49
413,7.73,2,2024-09-01 04:13:13
414,6.9,1,2024-09-01 23:49:49
415,0.5,11,2024-09-02 00:37:37
416,3.54,15,2024-09-01 12:56:56
417,1.3,2,2024-09-01 07:33:33
418,0.78,8,2024-09-01 19:59:59
419,7.58,12,2024-09-02 00:34:34
420,9.66,1,2024-09-01 20:20:20
421,3.88,3,2024-09-01 19:36:36
422,1.48,11,2024-09-01 05:09:09
423,4.69,1,2024-09-01 22:15:15
424,8.58,11,2024-09-01 12:27:27
425,7.91,5,2024-09-01 03:14:14
426,6.78,1,2024-09-01 20:00:00
427,5.53,11,2024-09-01 19:58:58
428,4.86,14,2024-09-01 09:12:12
429,6.81,15,2024-09-01 18:31:31
430,6.4,14,2024-09-01 19:28:28
431,1.22,5,2024-09-01 03:48:48
432,4.75,12,2024-09-01 07:55:55
433,0.98,18,2024-09-02 02:21:21
434,6.2,15,2024-09-01 10:55:55
435,8.7,2,2024-09-02 01:26:26
436,7.36,11,2024-09-01 05:31:31
437,9.88,10,2024-09-02 01:21:21
438,8.4,19,2024-09-01 20:56:56
439,1.49,6,2024-09-01 09:18:18
440,4.93,16,2024-09-01 21:06:06
441,6.15,13,2024-09-01 08:32:32
442,2.32,20,2024-09-01 04:54:54
443,6.05,20,2024-09-01 21:38:38
444,7.64,10,2024-09-01 17:14:14
445,4.73,15,2024-09-01 15:07:07
446,8.61,9,2024-09-02 01:22:22
447,6.57,14,2024-09-01 07:02:02
448,6.04,5,2024-09-01 15:44:44
449,4.6,19,2024-09-01 21:10:10
450,3.75,18,2024-09-01 16:27:27
451,7.94,11,2024-09-01 05:49:49
452,4.2,17,2024-09-01 22:45:45
453,1.96,10,2024-09-02 01:32:32
454,7.4,2,2024-09-01 13:38:38
455,0.66,4,2024-09-01 19:08:08
456,2.18,16,2024-09-01 17:29:29
457,6.56,10,2024-09-02 00:21:21
458,0.67,5,2024-09-01 19:45:45
459,7.17,13,2024-09-01 13:10:10
460,5.73,13,2024-09-01 21:40:40
461,4.18,2,2024-09-01 19:37:37
462,6.23,4,2024-09-01 07:38:38
463,7.68,3,2024-09-01 21:56:56
464,9.12,10,2024-09-01 20:37:37
465,3.49,20,2024-09-01 05:36:36
466,8.45,10,2024-09-01 11:24:24
467,8.42,16,2024-09-01 06:13:13
468,9.59,4,2024-09-01 16:59:59
469,0.85,10,2024-09-01 06:54:54
470,1.02,15,2024-09-01 04:59:59
471,2.26,4,2024-09-01 06:36:36
472,7.34,10,2024-09-01 18:57:57
473,4.32,18,2024-09-01 15:31:31
474,7.43,5,2024-09-01 15:09:09
475,1.88,10,2024-09-01 19:11:11
476,7.33,16,2024-09-01 03:46:46
477,2.21,17,2024-09-01 20:44:44
478,9.52,14,2024-09-02 01:55:55
479,5.4,1,2024-09-01 06:44:44
480,0.63,11,2024-09-02 01:04:04
481,6.47,16,2024-09-01 14:55:55
482,7.16,7,2024-09-01 15:48:48
483,5.85,13,2024-09-01 13:15:15
484,5.46,3,2024-09-01 13:04:04
485,7.38,15,2024-09-01 20:27:27
486,4.34,13,2024-09-01 04:20:20
487,8.54,11,2024-09-02 00:46:46
488,1.41,17,2024-09-01 18:40:40
489,0.64,20,2024-09-01 05:07:07
490,6.43,3,2024-09-01 13:49:49
491,4.49,19,2024-09-01 12:20:20
492,3.21,6,2024-09-02 01:33:33
493,4.81,8,2024-09-01 17:47:47
494,9.54,16,2024-09-01 07:38:38
495,0.57,17,2024-09-01 20:07:07
496,8.98,10,2024-09-01 13:36:36
497,3.12,3,2024-09-01 09:42:42
498,9.77,14,2024-09-01 04:07:07
499,4.9,3,2024-09-01 08:08:08
500,2.77,16,2024-09-01 23:01:01
501,6.17,15,2024-09-01 10:54:54
502,7.22,17,2024-09-01 20:39:39
503,8.48,8,2024-09-01 10:29:29
504,0.42,17,2024-09-01 05:03:03
505,0.34,11,2024-09-02 01:57:57
506,1.86,12,2024-09-02 02:11:11
507,3.37,15,2024-09-01 20:00:00
508,0.88,5,2024-09-01 14:11:11
509,5.53,7,2024-09-01 12:00:00
510,1.03,9,2024-09-01 03:12:12
511,7.54,8,2024-09-01 18:44:44
512,7.99,5,2024-09-01 16:44:44
513,7.54,14,2024-09-02 01:31:31
514,4.62,13,2024-09-01 20:26:26
515,6.2,8,2024-09-01 18:53:53
516,0.26,1,2024-09-01 22:46:46
517,8.09,11,2024-09-01 11:15:15
518,0.87,13,2024-09-01 20:53:53
519,5.5,20,2024-09-01 08:40:40
520,5.76,15,2024-09-01 19:13:13
521,3.26,2,2024-09-02 00:29:29
522,2.31,4,2024-09-01 21:52:52
523,0.46,15,2024-09-01 05:17:17
524,1.42,4,2024-09-01 17:37:37
525,5.36,15,2024-09-01 23:52:52
526,5.82,5,2024-09-01 08:24:24
527,8.63,3,2024-09-01 12:12:12
528,8.38,5,2024-09-01 22:09:09
529,7.3,6,2024-09-01 12:58:58
530,6.57,4,2024-09-01 12:41:41
531,1.32,17,2024-09-01 07:38:38
532,4.81,20,2024-09-01 07:57:57
533,7.04,2,2024-09-01 23:11:11
534,3.38,18,2024-09-01 22:53:53
535,7.41,4,2024-09-01 06:26:26
536,6.22,9,2024-09-01 09:47:47
537,1.08,6,2024-09-01 09:19:19
538,7.72,20,2024-09-01 20:32:32
539,8.59,6,2024-09-01 18:21:21
540,9.85,13,2024-09-01 05:03:03
541,3.77,19,2024-09-01 03:05:05
542,5.42,19,2024-09-01 12:00:00
543,8.96,5,2024-09-01 19:03:03
544,4.42,8,2024-09-02 00:22:22
545,9.07,12,2024-09-01 07:13:13
546,2.81,8,2024-09-01 17:40:40
547,7.64,6,2024-09-01 22:16:16
548,7.2,10,2024-09-01 14:25:25
549,7.83,6,2024-09-01 16:31:31
550,2.22,8,2024-09-01 06:03:03
551,6.84,8,2024-09-01 19:07:07
552,4.61,8,2024-09-01 15:58:58
553,5.19,2,2024-09-02 01:31:31
554,3.68,4,2024-09-02 02:18:18
555,1.32,13,2024-09-01 23:06:06
556,3.24,15,2024-09-01 13:58:58
557,0.94,12,2024-09-02 02:11:11
558,9.49,11,2024-09-01 17:59:59
559,7.31,11,2024-09-01 12:21:21
560,1.43,20,2024-09-02 02:55:55
561,1.3,16,2024-09-01 13:35:35
562,6.35,16,2024-09-01 22:58:58
563,1.64,3,2024-09-01 18:04:04
564,0.74,8,2024-09-01 21:42:42
565,6.5,8,2024-09-02 01:52:52
566,0.69,11,2024-09-02 02:36:36
567,0.43,17,2024-09-01 11:02:02
568,3.4,17,2024-09-01 15:31:31
569,3.73,1,2024-09-01 19:12:12
570,4.87,4,2024-09-01 04:23:23
571,7.81,2,2024-09-01 20:46:46
572,4.7,18,2024-09-01 09:19:19
573,7.1,6,2024-09-01 23:01:01
574,6.3,12,2024-09-01 18:09:09
575,5.44,6,2024-09-01 05:28:28
576,8.33,16,2024-09-01 14:58:58
577,7.16,18,2024-09-01 10:40:40
578,0.56,3,2024-09-01 12:28:28
579,4.66,8,2024-09-01 10:39:39
580,8.22,7,2024-09-01 14:51:51
581,8.46,19,2024-09-01 09:19:19
582,4.35,13,2024-09-01 17:35:35
583,0.66,9,2024-09-01 11:47:47
584,9.73,20,2024-09-01 11:40:40
585,6.57,16,2024-09-01 08:59:59
586,5.99,12,2024-09-01 14:21:21
587,4.1,9,2024-09-01 06:52:52
588,0.22,1,2024-09-01 19:16:16
589,6.41,13,2024-09-01 10:52:52
590,3.86,4,2024-09-02 01:27:27
591,6.88,3,2024-09-01 03:55:55
592,3.83,10,2024-09-01 21:26:26
593,2.41,9,2024-09-02 00:19:19
594,7.03,8,2024-09-01 06:39:39
595,6.93,13,2024-09-01 21:51:51
596,7.08,13,2024-09-01 13:49:49
597,1.86,2,2024-09-01 19:47:47
598,2.25,10,2024-09-01 11:02:02
599,8.61,13,2024-09-02 00:44:44
600,0.25,11,2024-09-01 10:46:46
601,3.15,20,2024-09-01 13:10:10
602,7.39,4,2024-09-01 11:26:26
603,1.82,1,2024-09-01 10:53:53
604,0.63,1,2024-09-01 03:15:15
605,3.21,7,2024-09-01 10:53:53
606,5.84,8,2024-09-01 19:06:06
607,3.06,20,2024-09-01 05:08:08
608,8.6,9,2024-09-02 02:41:41
609,0.63,6,2024-09-02 02:53:53
610,4.25,19,2024-09-02 01:43:43
611,1.05,11,2024-09-01 09:58:58
612,6.42,10,2024-09-01 10:45:45
613,4.63,15,2024-09-01 09:49:49
614,7.89,12,2024-09-01 20:52:52
615,3.38,7,2024-09-01 19:33:33
616,9.18,14,2024-09-02 00:54:54
617,4.88,14,2024-09-01 03:57:57
618,4.57,4,2024-09-01 13:10:10
619,4.61,16,2024-09-01 20:19:19
620,2.19,18,2024-09-01 18:38:38
621,4,5,2024-09-01 20:13:13
622,0.49,15,2024-09-01 20:32:32
623,8.35,19,2024-09-02 02:43:43
624,6.49,9,2024-09-01 08:06:06
625,8.42,13,2024-09-01 10:21:21
626,5.77,15,2024-09-02 02:05:05
627,5.77,2,2024-09-01 18:03:03
628,9.44,19,2024-09-01 12:26:26
629,4.42,1,2024-09-01 15:57:57
630,4.75,10,2024-09-01 04:02:02
631,3.79,13,2024-09-02 01:33:33
632,3.87,4,2024-09-01 05:06:06
633,9.71,16,2024-09-02 00:42:42
634,4.93,4,2024-09-01 23:45:45
635,6.84,7,2024-09-01 23:31:31
636,2.78,4,2024-09-01 16:58:58
637,9.71,7,2024-09-01 03:55:55
638,3.97,10,2024-09-01 08:38:38
639,6.5,10,2024-09-01 08:31:31
640,9.6,14,2024-09-01 19:41:41
641,1.29,16,2024-09-01 16:59:59
642,1.4,18,2024-09-01 05:49:49
643,3.48,15,2024-09-02 02:04:04
644,0.65,15,2024-09-01 12:20:20
645,6.69,12,2024-09-01 10:37:37
646,2.42,14,2024-09-02 00:15:15
647,0.78,18,2024-09-01 08:34:34
648,2.31,6,2024-09-01 10:05:05
649,8.56,15,2024-09-01 21:49:49
650,8.57,1,2024-09-01 11:05:05
651,3.04,2,2024-09-02 01:40:40
652,9.11,11,2024-09-02 01:55:55
653,5.56,19,2024-09-01 11:11:11
654,6.83,10,2024-09-01 15:44:44
655,0.64,12,2024-09-01 17:43:43
656,4.56,11,2024-09-01 21:19:19
657,6.8,13,2024-09-01 13:19:19
658,6.52,3,2024-09-01 20:00:00
659,9.13,9,2024-09-01 10:38:38
660,4.79,17,2024-09-01 13:25:25
661,0.13,4,2024-09-01 20:09:09
662,8.93,19,2024-09-01 10:15:15
663,4.08,11,2024-09-01 08:56:56
